,0,1,2,3
1,60.0215,67.3243,82.4028,77.5861
2,55.4802,63.3581,74.9786,72.216
3,54.134,61.7536,79.9524,69.2815
4,51.9226,60.9992,78.6039,68.8042
5,52.1161,59.5274,77.8164,68.5568
6,51.1126,59.97,78.4275,67.3676
7,50.8894,60.489,78.1644,67.3027
8,50.8154,59.97,78.3982,67.0231
9,51.2,59.9872,77.1012,65.7621
10,50.84,60.1765,77.0162,66.9161
